release_date,title,release_year,vote_average,vote_count
1995-10-30,Toy Story,1995,7.7,5415.0
1995-12-15,Jumanji,1995,6.9,2413.0
1995-12-22,Grumpier Old Men,1995,6.5,92.0
1995-12-22,Waiting to Exhale,1995,6.1,34.0
1995-02-10,Father of the Bride Part II,1995,5.7,173.0
1995-12-15,Heat,1995,7.7,1886.0
1995-12-15,Sabrina,1995,6.2,141.0
1995-12-22,Tom and Huck,1995,5.4,45.0
1995-12-22,Sudden Death,1995,5.5,174.0
1995-11-16,GoldenEye,1995,6.6,1194.0
1995-11-17,The American President,1995,6.5,199.0
1995-12-22,Dracula: Dead and Loving It,1995,5.7,210.0
1995-12-22,Balto,1995,7.1,423.0
1995-12-22,Nixon,1995,7.1,72.0
1995-12-22,Cutthroat Island,1995,5.7,137.0
1995-11-22,Casino,1995,7.8,1343.0
1995-12-13,Sense and Sensibility,1995,7.2,364.0
1995-12-09,Four Rooms,1995,6.5,539.0
1995-11-10,Ace Ventura: When Nature Calls,1995,6.1,1128.0
1995-11-21,Money Train,1995,5.4,224.0
1995-10-20,Get Shorty,1995,6.4,305.0
1995-10-27,Copycat,1995,6.5,199.0
1995-10-06,Assassins,1995,6.0,394.0
1995-10-27,Powder,1995,6.3,143.0
1995-10-27,Leaving Las Vegas,1995,7.1,365.0
1995-12-15,Othello,1995,7.0,33.0
1995-10-20,Now and Then,1995,6.6,91.0
1995-09-27,Persuasion,1995,7.4,36.0
1995-05-16,The City of Lost Children,1995,7.6,308.0
1995-04-30,Shanghai Triad,1995,6.5,17.0
1995-08-11,Dangerous Minds,1995,6.4,249.0
1995-12-29,Twelve Monkeys,1995,7.4,2470.0
1996-09-18,Wings of Courage,1996,6.8,4.0
1995-07-18,Babe,1995,6.0,756.0
1995-11-08,Carrington,1995,6.4,16.0
1995-12-29,Dead Man Walking,1995,7.3,350.0
1995-10-20,Across the Sea of Time,1995,3.5,2.0
1995-11-17,It Takes Two,1995,6.1,149.0
1995-07-19,Clueless,1995,6.9,828.0
1995-12-15,"Cry, the Beloved Country",1995,6.7,13.0
1995-12-29,Richard III,1995,6.9,50.0
1995-10-06,Dead Presidents,1995,6.6,80.0
1995-12-29,Restoration,1995,6.3,30.0
1995-08-18,Mortal Kombat,1995,5.4,452.0
1995-05-20,To Die For,1995,6.7,177.0
1995-10-06,How To Make An American Quilt,1995,6.5,38.0
1995-09-22,Se7en,1995,8.1,5915.0
1995-06-14,Pocahontas,1995,6.7,1509.0
1995-05-05,When Night Is Falling,1995,5.9,10.0
